Codigo,Departamento,Municipio,Esperanza de vida al nacer,Tasa de alfabetismo en adultos (% de 15+ años),Tasa de Escolaridad (% de 7+ años),Ingreso estimado per capita anual (US$ PPA),Indice de Salud,Indice de Educacion,Indice de Ingreso,IDH 2009,IDH 2002
1504,Olancho,Concordia,71.91,69.79,39.85,"2,322.36",0.782,0.598,0.525,0.626,0.599
1505,Olancho,Dulce Nombre de Culmi,71.6,74.17,35.83,"1,997.06",0.777,0.614,0.5,0.62,0.599
1506,Olancho,El Rosario,71.22,70.06,40.59,"1,682.11",0.77,0.602,0.471,0.602,0.581
1507,Olancho,Esquipulas del Norte,71.28,61.83,25.12,"1,777.72",0.771,0.496,0.48,0.568,0.549
1508,Olancho,Gualaco,71.93,73.59,36.82,"2,286.48",0.782,0.613,0.522,0.63,0.605
1509,Olancho,Guarizama,71.35,78.02,41.61,"1,802.79",0.773,0.659,0.483,0.627,0.604
1510,Olancho,Guata,71.27,53.87,21.21,"1,718.19",0.771,0.43,0.475,0.54,0.52
1511,Olancho,Guayape,71.7,70.32,42.61,"2,077.52",0.778,0.611,0.506,0.622,0.597
1512,Olancho,Jano,71.71,68.96,33.85,"2,104.78",0.779,0.573,0.509,0.61,0.588
1513,Olancho,La Union,72.48,79.71,43.37,"2,843.89",0.791,0.676,0.559,0.669,0.64
1514,Olancho,Mangulile,71.47,61.29,23.14,"1,880.33",0.775,0.486,0.49,0.569,0.549
1515,Olancho,Manto,71.86,77.21,45.08,"2,204.65",0.781,0.665,0.516,0.645,0.624
